|hidden layer sizes|testing f1|testing accuracy|best model
0|[10]|0.7128199342756991|0.7983119354702515|1
1|[20]|0.7085149257707877|0.7973018544339618|0
2|[30]|0.7098887119432089|0.7973013199995511|0
3|[10, 10]|0.7066833258518109|0.7967952106125847|0
4|[10, 20]|0.7066833258518109|0.7967952106125847|0
5|[10, 30]|0.7066954006574089|0.7967941417437633|0
6|[20, 10]|0.7066830620522366|0.796794676178174|0
7|[20, 20]|0.7086319679152158|0.7963917126324797|0
8|[20, 30]|0.706686317955082|0.796794676178174|0
9|[30, 10]|0.7066840773053571|0.796794676178174|0
10|[30, 20]|0.7113865038608316|0.7971746590442068|0
11|[30, 30]|0.706686107770708|0.796794676178174|0
